iter	Passed	Remaining
277	703168	1826214
278	705439	1823016
279	707646	1819662
280	710028	1816764
281	712348	1813710
282	714796	1810986
283	717212	1808184
284	719414	1804846
285	721519	1801276
286	723657	1797796
287	726009	1794857
288	728269	1791693
289	730426	1788286
290	732616	1784965
291	735551	1783459
292	738122	1781067
293	740641	1778547
294	743075	1775824
295	745584	1773281
296	747827	1770111
297	750359	1767624
298	753102	1765634
299	755547	1762943
300	757930	1760110
301	760504	1757723
302	763132	1755456
303	765454	1752487
304	767799	1749576
305	770230	1746863
306	772622	1744063
307	775005	1741245
308	777429	1738524
309	779740	1735550
310	782462	1733494
311	784945	1730905
312	787312	1728062
313	789713	1725297
314	792142	1722596
315	794836	1720469
316	797284	1717809
317	799879	1715464
318	802254	1712649
319	804558	1709686
320	806997	1707014
321	809614	1704715
322	812034	1702004
323	814633	1699668
324	816905	1696649
325	819399	1694095
326	821953	1691665
327	824359	1688931
328	827042	1686765
329	829741	1684626
330	832276	1682153
331	834690	1679437
332	837232	1676978
333	839863	1674698
334	842374	1672175
335	845423	1670718
336	848007	1668334
337	850261	1665305
338	852639	1662520
339	854847	1659409
340	857137	1656462
341	859397	1653460
342	861720	1650584
343	863970	1647571
344	866456	1645011
345	868739	1642067
346	871575	1640169
347	874491	1638414
348	876893	1635696
349	879614	1633568
350	882180	1631153
351	884641	1628545
352	887172	1626063
353	889899	1623941
354	892322	1621262
355	894722	1618543
356	897187	1615942
357	899599	1613248
358	901852	1610271
359	904453	1607917
360	906964	1605401
361	909549	1603017
362	912354	1601018
363	914892	1598548
364	917453	1596118
365	920012	1593682
366	922637	1591361
367	925164	1588868
368	927902	1586738
369	930344	1584100
370	932988	1581805
371	935414	1579140
372	937810	1576427
373	940262	1573807
374	942993	1571655
375	945414	1568986
376	947751	1566178
377	950703	1564384
378	953336	1562063
379	956386	1560420
380	958898	1557896
381	961517	1555544
382	964074	1553091
383	966380	1550234
384	968870	1547675
385	971471	1545293
386	974165	1543058
387	976908	1540896
388	979349	1538258
389	982020	1535981
390	984528	1533447
391	987461	1531573
392	990071	1529194
393	992796	1526991
394	995412	1524619
395	998172	1522464
396	1001782	1521599
397	1004241	1518978
398	1006465	1516005
399	1008612	1512918
400	1010817	1509924
401	1013212	1507217
402	1015450	1504278
403	1017598	1501209
404	1019718	1498104
405	1021997	1495237
406	1024150	1492190
407	1026186	1488976
408	1028536	1486222
409	1031072	1483738
410	1033477	1481066
411	1035678	1478104
412	1038121	1475490
413	1040488	1472769
414	1042938	1470166
415	1045734	1468049
416	1048402	1465752
417	1051198	1463630
418	1053681	1461071
419	1056219	1458589
420	1058954	1456376
421	1061595	1454034
422	1063959	1451311
423	1066421	1448723
424	1069470	1446931
425	1072041	1444487
426	1074515	1441913
427	1077008	1439366
428	1079554	1436889
429	1081968	1434237
430	1084681	1431980
431	1087203	1429470
432	1089420	1426561
433	1091917	1424021
434	1094528	1421628
435	1097359	1419519
436	1099940	1417086
437	1102719	1414905
438	1105314	1412486
439	1107777	1409898
440	1110623	1407797
441	1113387	1405588
442	1115631	1402723
443	1118174	1400236
444	1120512	1397493
445	1122669	1394526
446	1125443	1392327
447	1128311	1390241
448	1130893	1387799
449	1133506	1385397
450	1135945	1382780
451	1138275	1380032
452	1140986	1377747
453	1143980	1375800
454	1146512	1373294
455	1149115	1370874
456	1151620	1368337
457	1154049	1365708
458	1156191	1362743
459	1158473	1359947
460	1160853	1357267
461	1163064	1354390
462	1165362	1351619
463	1168015	1349259
464	1170701	1346936
465	1173219	1344418
466	1175842	1342020
467	1178698	1339887
468	1181468	1337653
469	1183819	1334945
470	1186634	1332759
471	1189094	1330174
472	1191566	1327601
473	1193985	1324971
474	1196448	1322389
475	1199009	1319917
476	1201887	1317792
477	1204415	1315282
478	1206712	1312520
479	1209212	1309980
480	1211356	1307055
481	1214380	1305081
482	1216955	1302620
483	1219296	1299911
484	1221427	1296979
485	1224070	1294593
486	1226578	1292063
487	1229304	1289762
488	1231796	1287214
489	1234413	1284797
490	1236918	1282264
491	1239293	1279596
492	1241558	1276816
493	1244131	1274353
494	1246832	1272021
495	1249403	1269555
496	1251844	1266957
497	1254429	1264505
498	1256895	1261933
499	1259571	1259571
500	1262113	1257074
501	1264559	1254483
502	1267309	1252192
503	1270021	1249862
504	1272684	1247483
505	1275249	1245006
506	1277739	1242457
507	1280292	1239967
508	1282845	1237479
509	1285445	1235035
510	1288198	1232737
511	1290473	1229982
512	1292993	1227461
513	1295538	1224964
514	1297849	1222246
515	1300654	1219994
516	1303381	1217666
517	1306346	1215558
518	1308803	1212976
519	1311587	1210695
520	1314159	1208219
521	1316626	1205646
522	1319310	1203272
523	1321897	1200807
524	1324293	1198170
525	1326632	1195482
526	1329467	1193241
527	1331983	1190712
528	1335369	1188958
529	1337864	1186407
530	1340669	1184131
531	1343423	1181808
532	1346186	1179491
533	1348696	1176951
534	1351566	1174726
535	1354585	1172626
536	1357206	1170180
537	1359695	1167619
538	1362329	1165183
539	1364931	1162719
540	1367709	1160403
541	1370229	1157869
542	1372929	1155486
543	1375713	1153171
544	1378194	1150602
545	1380433	1147832
546	1382739	1145120
547	1385097	1142452
548	1387667	1139959
549	1390863	1137979
550	1394344	1136226
551	1398689	1135168
552	1401664	1132990
553	1404638	1130809
554	1407238	1128326
555	1410521	1126387
556	1413541	1124234
557	1417396	1122740
558	1420865	1120933
559	1423847	1118737
560	1426179	1116030
561	1428563	1113364
562	1431421	1111067
563	1434832	1109196
564	1438108	1107216
565	1441653	1105437
566	1444639	1103225
567	1448050	1101334
568	1451022	1099104
569	1453732	1096675
570	1456167	1094038
571	1459553	1092113
572	1462173	1089612
573	1465168	1087389
574	1468589	1085479
575	1471424	1083131
576	1474669	1081083
577	1477155	1078476
578	1479409	1075701
579	1481847	1073061
580	1484228	1070381
581	1486670	1067746
582	1489215	1065185
583	1491497	1062436
584	1493952	1059812
585	1497075	1057660
586	1499536	1055040
587	1502023	1052438
588	1504447	1049792
589	1508626	1048367
590	1511723	1046183
591	1514251	1043605
592	1516430	1040787
593	1518679	1038019
594	1520753	1035134
595	1523124	1032453
596	1525695	1029908
597	1528280	1027372
598	1530770	1024772
599	1533245	1022163
600	1535684	1019530
601	1538004	1016820
602	1540304	1014097
603	1542515	1011317
604	1544797	1008586
605	1547082	1005858
606	1549650	1003315
607	1552121	1000710
608	1554305	997920
