iter	MultiClass
282	1.786299205
283	1.773283523
284	1.762214776
285	1.756570312
286	1.749237467
287	1.739417771
288	1.730080013
289	1.720369894
290	1.708974711
291	1.697316974
292	1.689545631
293	1.683041664
294	1.675166238
295	1.665021764
296	1.661232988
297	1.650834216
298	1.642090055
299	1.636480573
300	1.628307944
301	1.620807716
302	1.612175386
303	1.606742906
304	1.601544701
305	1.592791364
306	1.585329644
307	1.579017128
308	1.571381333
309	1.564605347
310	1.55343031
311	1.544294522
312	1.537018611
313	1.531363987
314	1.525534532
315	1.515952029
316	1.509090105
317	1.500222058
318	1.495161753
319	1.48899772
320	1.480785359
321	1.471626145
322	1.469159443
323	1.462848346
324	1.456144282
325	1.44705293
326	1.437718634
327	1.43096576
328	1.421006036
329	1.41220103
330	1.403534745
331	1.396870181
332	1.387322583
333	1.377907901
334	1.371691088
335	1.363054918
336	1.355047178
337	1.348856903
338	1.341953311
339	1.338221282
340	1.331029367
341	1.325922274
342	1.321178465
343	1.313387958
344	1.304287522
345	1.296424246
346	1.288513383
347	1.281971353
348	1.27420251
349	1.266082338
350	1.259810669
351	1.254271794
352	1.246916467
353	1.240401425
354	1.234511897
355	1.231993532
356	1.224422256
357	1.218087351
358	1.213036495
359	1.207286261
360	1.199908743
361	1.191274328
362	1.183300714
363	1.176139727
364	1.169506547
365	1.162151098
366	1.156669118
367	1.149636617
368	1.142477562
369	1.135968682
370	1.128599443
371	1.125189492
372	1.120479642
373	1.116100922
374	1.108649231
375	1.105974502
376	1.103476795
377	1.095567466
378	1.088757571
379	1.082959011
380	1.077210587
381	1.070284971
382	1.064028065
383	1.060001926
384	1.053746803
385	1.046659715
386	1.039823198
387	1.033176115
388	1.029552185
389	1.023146145
390	1.019442576
391	1.012163918
392	1.005763807
393	0.9992892835
394	0.9924986139
395	0.9898526935
396	0.9867448591
397	0.9805443814
398	0.9767462489
399	0.975141399
400	0.9715326745
401	0.9658513727
402	0.959984126
403	0.9569215631
404	0.9542690278
405	0.9490549731
406	0.943453618
407	0.9409458322
408	0.9344805416
409	0.9279644315
410	0.9227203309
411	0.9178434998
412	0.9118763755
413	0.9074495367
414	0.9010556236
415	0.8959494332
416	0.891533242
417	0.8855198122
418	0.882688823
419	0.8776754373
420	0.8725522933
421	0.8675063896
422	0.8633511169
423	0.8584242025
424	0.8531983966
425	0.848710399
426	0.8436363206
427	0.8382274694
428	0.8349124903
429	0.8306074009
430	0.8259848626
431	0.821473301
432	0.8197927405
433	0.815853468
434	0.8111670991
435	0.8068345287
436	0.8021292474
437	0.7978094281
438	0.7937921673
439	0.790004838
440	0.7855837431
441	0.7805588382
442	0.7775136786
443	0.7729094162
444	0.7697543776
445	0.766797775
446	0.7616304901
447	0.7570577308
448	0.7530764908
449	0.7491756257
450	0.7460151729
451	0.7423591464
452	0.738006864
453	0.7335047255
454	0.7287277127
455	0.7244037322
456	0.7209350373
457	0.7163326845
458	0.7131308897
459	0.7111364178
460	0.7064562581
461	0.7033922091
462	0.6992459382
463	0.6961913188
464	0.6938866873
465	0.6913772491
466	0.6885033577
467	0.6836643013
468	0.6800198316
469	0.6768077911
470	0.6727112677
471	0.6689643216
472	0.6649567242
473	0.6617576943
474	0.6583156301
475	0.6544327517
476	0.6514805448
477	0.6474496144
478	0.6438229375
479	0.6400892838
480	0.6386875504
481	0.6354859754
482	0.6318298275
483	0.6291975563
484	0.6270971495
485	0.6250425124
486	0.6218563875
487	0.6185323518
488	0.6165763234
489	0.6133194242
490	0.6097752735
491	0.6077980672
492	0.6056758234
493	0.6033180857
494	0.6000337229
495	0.5972862836
496	0.5944880873
497	0.5915960972
498	0.5890462133
499	0.5858544013
500	0.5834736095
501	0.5810266677
502	0.5778845392
503	0.5747717499
504	0.5716440849
505	0.5686013235
506	0.5662486547
507	0.5638994191
508	0.5615363585
509	0.5583402309
510	0.5564319132
511	0.5545254447
512	0.5514395507
513	0.548976696
514	0.5467264614
515	0.5435806117
516	0.5408715561
517	0.5377798494
518	0.535358304
519	0.5332278005
520	0.5311038157
521	0.5290144685
522	0.526086487
523	0.524256296
524	0.52166193
525	0.5192387665
526	0.5163605263
527	0.5144896805
528	0.5116696922
529	0.509684266
530	0.5073895563
531	0.5050162238
532	0.5025731122
533	0.5005042223
534	0.4977433039
535	0.4949421515
536	0.4922917986
537	0.4902152061
538	0.4882734817
539	0.4870232118
540	0.4852858362
541	0.4829935665
542	0.4803779647
543	0.4777098679
544	0.4750119451
545	0.4732423461
546	0.4711814711
547	0.4689414873
548	0.4664720071
549	0.4648278861
550	0.4634458958
551	0.4618158851
552	0.4603828105
553	0.4585588037
554	0.4570024506
555	0.4552762931
556	0.4529544844
557	0.4513518584
558	0.4488965109
559	0.4471618419
560	0.4453835878
561	0.4440869831
562	0.441953788
563	0.4400997741
564	0.438477298
565	0.4367266855
566	0.4358477796
567	0.4337414589
568	0.4319779614
569	0.4306793406
570	0.4290853923
571	0.4273355709
572	0.4261044543
573	0.4247752012
574	0.4230747858
575	0.4213666323
576	0.4199822963
577	0.4184168563
578	0.4168912625
579	0.4158439081
580	0.4139486904
581	0.4120051602
582	0.4103366329
583	0.4087342411
584	0.4066389129
585	0.4051514895
586	0.4037720673
587	0.401845243
588	0.400523999
589	0.3986573323
590	0.3972491919
591	0.396090071
592	0.3945331565
593	0.3928803325
594	0.3921885694
595	0.3908074525
596	0.3895629384
597	0.3878589095
598	0.386474833
599	0.3846793718
600	0.383017522
601	0.3820976555
602	0.380577125
603	0.379505783
604	0.3786338112
605	0.3774390446
606	0.376389186
607	0.3751027348
608	0.3736417637
